dancer	билеуші
decoration	сән
deduction	шегер
deed	іс
detention	тоқтаттырылу
devaluation	бағасыздану
disarmament	қарусыздандыр
disaster	сорлылық
diversification	диверсификация
dossier	құжатнама
dozen	дюжина
drought	қуаңшылық
eagle	eagle
economics	экономика
effectiveness	тиімділік
elder	ажа
embezzlement	же
emergence	біт
employer	жұмыс<b/>беруші
endorsement	растама
equinox	equinox
estimation	сарапшылық
examination	қарау
expectancy	expectancy
expectation	болжаным
exploration	зертте
expo	экспо
extremism	экстремизм
fibre	талшық
forecast	forecast
fraction	фракция
freight	фрахт
friendship	достық
frontier	шекара
gratitude	алғыс
gravity	гравитация
hardship	қиналыс
harmonisation	гармонизация
heroism	қаһармандық
horizon	көкжиек
hospitality	қонақжайлылық
humanism	адамдық
inauguration	инаугурация
indicator	индикатор
industrialisation	индустриялық<b/>даму
innovation	жаңалық
inspection	инспекция
intensification	қарқындандыру
intensity	ашықтық
interaction	әрекеттестік
intermediary	жеңгелет
joy	қуаныш
kindergarten	балабақша
Latvian	Латыш
layout	жайлау
lifestyle	өмірдің<b/>стильсі
limitation	шектеу
machinery	машина
magnesium	магни
mandate	мандат
manifestation	манифест
manna	manna
memorandum	арнау
metallurgist	металлург
migration	ауу
modelling	модельдеу
modernisation	модернизация
monopoly	монополия
observance	сақта
offence	шам
optimisation	оңтайландыру
originality	төл
patriotism	отаншылдық
pension	ақшанесие
premium	сыйлық
prestige	абырой
prevention	алдын<b/>ал
principality	княздық
productivity	өндірімділік
provision	жарылқаушылық
realisation	жүзеге<b/>асу
refining	жаманжұман
repression	қуғынсүргін
revision	revision
revival	тірілт
robbery	талантараж
sadness	мұң
saving	сақта
scenario	сценари
secretariat	хатшылық
shareholder	акционер
simulation	модельдеу
spectrum	спектр
statesman	мемлекеттік<b/>қайраткер
subdivision	бөлімше
subsoil	subsoil
sum	сома
swap	орын<b/>алмастыр
synthesis	синтез
taxi	такси
telecommunication	телекоммуникация
telegram	жеделхат
testimony	куәнің<b/>көрсетімі
theft	ұрлық
thought	ой
threshold	босаға
titanium	titanium
tonne	метрикалық<b/>тонна
tragedy	зұлмат
turnover	айланыс
USSR	USSR
utilisation	игерушілік
vector	бағыттауыш
