set	тағайында
rename	қайта<b/>ата
differentiate	саралан
recognise	есте<b/>сақта
call	телефон<b/>соқ
originate	іске<b/>қос
practice	қолдан
convert	айналдыр
state	мәлімде
remain	қал
commit	істе
consider	қара
survive	тірі<b/>қал
secure	қамсыздандыр
learn	оқы
negotiate	келіс
develop	дамыт
consult	ақылдас
surrender	бағын
crumble	үгіт
support	қолда
sign	қол<b/>қой
declare	жарияла
dominate	басқар
retain	сақта
occupy	басып<b/>ал
elected	таңдап<b/>ал
ensure	кепілдік<b/>бер
reinforce	бекіт
limit	шекте
maintain	қолда
range	орналас
flow	туында
evaporate	булан
proceed	жалғастыр
emigrate	көш
repatriate	отанына<b/>қайта<b/>орал

